Sample in Buffer,Sample in Window,TRIGGER,hdmi_in_i/hdmi2rgb_0/U0/DataDecoders[0].DecoderX/PhaseAlignX/pState_1[3:0],hdmi_in_i/hdmi2rgb_0/U0/DataDecoders[0].DecoderX/PhaseAlignX/pState[10:5],hdmi_in_i/hdmi2rgb_0/U0/DI[26:0]
113,113,0,0,10,1000000
114,114,0,0,10,1000000
115,115,0,0,10,1000000
116,116,0,0,10,1000000
117,117,0,0,10,1000000
118,118,0,0,10,1000000
119,119,0,0,10,1000000
120,120,0,0,10,1000000
121,121,0,0,10,1000000
122,122,0,0,10,1000000
123,123,0,0,10,1000000
124,124,0,0,10,1000000
125,125,0,0,10,1000000
126,126,0,0,10,1000000
127,127,0,0,10,1000000
128,128,0,0,10,1000000
129,129,0,0,10,1000000
130,130,0,0,10,1000000
131,131,0,0,10,1000000
132,132,0,0,10,1000000
133,133,0,0,10,1000000
134,134,0,0,10,1000000
135,135,0,0,10,1000000
136,136,0,0,10,1000000
137,137,0,0,10,1000000
138,138,0,0,10,1000000
139,139,0,0,10,1000000
140,140,0,0,10,1000000
141,141,0,0,10,1000000
142,142,0,0,10,1000000
143,143,0,0,10,1000000
144,144,0,0,10,1000000
145,145,0,0,10,1000000
146,146,0,0,10,1000000
147,147,0,0,10,1000000
148,148,0,0,10,1000000
149,149,0,0,10,1000000
150,150,0,0,10,1000000
151,151,0,0,10,1000000
152,152,0,0,10,1000000
153,153,0,0,10,1000000
154,154,0,0,10,1000000
155,155,0,0,10,1000000
156,156,0,0,10,1000000
157,157,0,0,10,1000000
158,158,0,0,10,1000000
159,159,0,0,10,1000000
160,160,0,0,10,1000000
161,161,0,0,10,1000000
162,162,0,0,10,1000000
163,163,0,0,10,1000000
164,164,0,0,10,1000000
165,165,0,0,10,1000000
166,166,0,0,10,1000000
167,167,0,0,10,1000000
168,168,0,0,10,1000000
169,169,0,0,10,1000000
170,170,0,0,10,1000000
171,171,0,0,10,1000000
172,172,0,0,10,1000000
173,173,0,0,10,1000000
174,174,0,0,10,1000000
175,175,0,0,10,1000000
176,176,0,0,10,1000000
177,177,0,0,10,1000000
178,178,0,0,10,1000000
179,179,0,0,10,1000000
180,180,0,0,10,1000000
181,181,0,0,10,1000000
182,182,0,0,10,1000000
183,183,0,0,10,1000000
184,184,0,0,10,1000000
185,185,0,0,10,1000000
186,186,0,0,10,1000000
187,187,0,0,10,1000000
188,188,0,0,10,1000000
189,189,0,0,10,1000000
190,190,0,0,10,1000000
191,191,0,0,10,1000000
192,192,0,0,10,1000000
193,193,0,0,10,1000000
194,194,0,0,10,1000000
195,195,0,0,10,1000000
196,196,0,0,10,1000000
197,197,0,0,10,1000000
198,198,0,0,10,1000000
199,199,0,0,10,1000000
200,200,0,0,10,1000000
201,201,0,0,10,1000000
202,202,0,0,10,1000000
203,203,0,0,10,1000000
204,204,0,0,10,1000000
205,205,0,0,10,1000000
206,206,0,0,10,1000000
207,207,0,0,10,1000000
208,208,0,0,10,1000000
209,209,0,0,10,1000000
210,210,0,0,10,1000000
211,211,0,0,10,1000000
212,212,0,0,10,1000000
213,213,0,0,10,1000000
214,214,0,0,10,1000000
215,215,0,0,10,1000000
216,216,0,0,10,1000000
217,217,0,0,10,1000000
218,218,0,0,10,1000000
219,219,0,0,10,1000000
220,220,0,0,10,1000000
221,221,0,0,10,1000000
222,222,0,0,10,1000000
223,223,0,0,10,1000000
224,224,0,0,10,1000000
225,225,0,0,10,1000000
226,226,0,0,10,1000000
227,227,0,0,10,1000000
228,228,0,0,10,1000000
229,229,0,0,10,1000000
230,230,0,0,10,1000000
231,231,0,0,10,1000000
232,232,0,0,10,1000000
233,233,0,0,10,1000000
234,234,0,0,10,1000000
235,235,0,0,10,1000000
236,236,0,0,10,1000000
237,237,0,0,10,1000000
238,238,0,0,10,1000000
239,239,0,0,10,1000000
240,240,0,0,10,1000000
241,241,0,0,10,1000000
242,242,0,0,10,1000000
243,243,0,0,10,1000000
244,244,0,0,10,1000000
245,245,0,0,10,1000000
246,246,0,0,10,1000000
247,247,0,0,10,1000000
248,248,0,0,10,1000000
249,249,0,0,10,1000000
250,250,0,0,10,1000000
251,251,0,0,10,1000000
252,252,0,0,10,1000000
253,253,0,0,10,1000000
254,254,0,0,10,1000000
255,255,0,0,10,1000000
256,256,0,0,10,1000000
257,257,0,0,10,1000000
258,258,0,0,10,1000000
259,259,0,0,10,1000000
260,260,0,0,10,1000000
261,261,0,0,10,1000000
262,262,0,0,10,1000000
263,263,0,0,10,1000000
264,264,0,0,10,1000000
265,265,0,0,10,1000000
266,266,0,0,10,1000000
267,267,0,0,10,1000000
268,268,0,0,10,1000000
269,269,0,0,10,1000000
270,270,0,0,10,1000000
271,271,0,0,10,1000000
272,272,0,0,10,1000000
273,273,0,0,10,1000000
274,274,0,0,10,1000000
275,275,0,0,10,1000000
276,276,0,0,10,1000000
277,277,0,0,10,1000000
278,278,0,0,10,1000000
279,279,0,0,10,1000000
280,280,0,0,10,1000000
281,281,0,0,10,1000000
282,282,0,0,10,1000000
283,283,0,0,10,1000000
284,284,0,0,10,1000000
285,285,0,0,10,1000000
286,286,0,0,10,1000000
287,287,0,0,10,1000000
288,288,0,0,10,1000000
289,289,0,0,10,1000000
290,290,0,0,10,1000000
291,291,0,0,10,1000000
292,292,0,0,10,1000000
293,293,0,0,10,1000000
294,294,0,0,10,1000000
295,295,0,0,10,1000000
296,296,0,0,10,1000000
297,297,0,0,10,1000000
298,298,0,0,10,1000000
299,299,0,0,10,1000000
300,300,0,0,10,1000000
301,301,0,0,10,1000000
302,302,0,0,10,1000000
303,303,0,0,10,1000000
304,304,0,0,10,1000000
305,305,0,0,10,1000000
306,306,0,0,10,1000000
307,307,0,0,10,1000000
308,308,0,0,10,1000000
309,309,0,0,10,1000000
310,310,0,0,10,1000000
311,311,0,0,10,1000000
312,312,0,0,10,1000000
313,313,0,0,10,1000000
314,314,0,0,10,1000000
315,315,0,0,10,1000000
316,316,0,0,10,1000000
317,317,0,0,10,1000000
318,318,0,0,10,1000000
319,319,0,0,10,1000000
320,320,0,0,10,1000000
321,321,0,0,10,1000000
322,322,0,0,10,1000000
323,323,0,0,10,1000000
324,324,0,0,10,1000000
325,325,0,0,10,1000000
326,326,0,0,10,1000000
327,327,0,0,10,1000000
328,328,0,0,10,1000000
329,329,0,0,10,1000000
330,330,0,0,10,1000000
331,331,0,0,10,1000000
332,332,0,0,10,1000000
333,333,0,0,10,1000000
334,334,0,0,10,1000000
335,335,0,0,10,1000000
336,336,0,0,10,1000000
337,337,0,0,10,1000000
338,338,0,0,10,1000000
339,339,0,0,10,1000000
340,340,0,0,10,1000000
341,341,0,0,10,1000000
342,342,0,0,10,1000000
343,343,0,0,10,1000000
344,344,0,0,10,1000000
345,345,0,0,10,1000000
346,346,0,0,10,1000000
347,347,0,0,10,1000000
348,348,0,0,10,1000000
349,349,0,0,10,1000000
350,350,0,0,10,1000000
351,351,0,0,10,1000000
352,352,0,0,10,1000000
353,353,0,0,10,1000000
354,354,0,0,10,1000000
355,355,0,0,10,1000000
356,356,0,0,10,1000000
357,357,0,0,10,1000000
358,358,0,0,10,1000000
359,359,0,0,10,1000000
360,360,0,0,10,1000000
361,361,0,0,10,1000000
362,362,0,0,10,1000000
363,363,0,0,10,1000000
364,364,0,0,10,1000000
365,365,0,0,10,1000000
366,366,0,0,10,1000000
367,367,0,0,10,1000000
368,368,0,0,10,1000000
369,369,0,0,10,1000000
370,370,0,0,10,1000000
371,371,0,0,10,1000000
372,372,0,0,10,1000000
373,373,0,0,10,1000000
374,374,0,0,10,1000000
375,375,0,0,10,1000000
376,376,0,0,10,1000000
377,377,0,0,10,1000000
378,378,0,0,10,1000000
379,379,0,0,10,1000000
380,380,0,0,10,1000000
381,381,0,0,10,1000000
382,382,0,0,10,1000000
383,383,0,0,10,1000000
384,384,0,0,10,1000000
385,385,0,0,10,1000000
386,386,0,0,10,1000000
387,387,0,0,10,1000000
388,388,0,0,10,1000000
389,389,0,0,10,1000000
390,390,0,0,10,1000000
391,391,0,0,10,1000000
392,392,0,0,10,1000000
393,393,0,0,10,1000000
394,394,0,0,10,1000000
395,395,0,0,10,1000000
396,396,0,0,10,1000000
397,397,0,0,10,1000000
398,398,0,0,10,1000000
399,399,0,0,10,1000000
400,400,0,0,10,1000000
401,401,0,0,10,1000000
402,402,0,0,10,1000000
403,403,0,0,10,1000000
404,404,0,0,10,1000000
405,405,0,0,10,1000000
406,406,0,0,10,1000000
407,407,0,0,10,1000000
408,408,0,0,10,1000000
409,409,0,0,10,1000000
410,410,0,0,10,1000000
411,411,0,0,10,1000000
412,412,0,0,10,1000000
413,413,0,0,10,1000000
414,414,0,0,10,1000000
415,415,0,0,10,1000000
416,416,0,0,10,1000000
417,417,0,0,10,1000000
418,418,0,0,10,1000000
419,419,0,0,10,1000000
420,420,0,0,10,1000000
421,421,0,0,10,1000000
422,422,0,0,10,1000000
423,423,0,0,10,1000000
424,424,0,0,10,1000000
425,425,0,0,10,1000000
426,426,0,0,10,1000000
427,427,0,0,10,1000000
428,428,0,0,10,1000000
429,429,0,0,10,1000000
430,430,0,0,10,1000000
431,431,0,0,10,1000000
432,432,0,0,10,1000000
433,433,0,0,10,1000000
434,434,0,0,10,1000000
435,435,0,0,10,1000000
436,436,0,0,10,1000000
437,437,0,0,10,1000000
438,438,0,0,10,1000000
439,439,0,0,10,1000000
440,440,0,0,10,1000000
441,441,0,0,10,1000000
442,442,0,0,10,1000000
443,443,0,0,10,1000000
444,444,0,0,10,1000000
445,445,0,0,10,1000000
446,446,0,0,10,1000000
447,447,0,0,10,1000000
448,448,0,0,10,1000000
449,449,0,0,10,1000000
450,450,0,0,10,1000000
451,451,0,0,10,1000000
452,452,0,0,10,1000000
453,453,0,0,10,1000000
454,454,0,0,10,1000000
455,455,0,0,10,1000000
456,456,0,0,10,1000000
457,457,0,0,10,1000000
458,458,0,0,10,1000000
459,459,0,0,10,1000000
460,460,0,0,10,1000000
461,461,0,0,10,1000000
462,462,0,0,10,1000000
463,463,0,0,10,1000000
464,464,0,0,10,1000000
465,465,0,0,10,1000000
466,466,0,0,10,1000000
467,467,0,0,10,1000000
468,468,0,0,10,1000000
469,469,0,0,10,1000000
470,470,0,0,10,1000000
471,471,0,0,10,1000000
472,472,0,0,10,1000000
473,473,0,0,10,1000000
474,474,0,0,10,1000000
475,475,0,0,10,1000000
476,476,0,0,10,1000000
477,477,0,0,10,1000000
478,478,0,0,10,1000000
479,479,0,0,10,1000000
480,480,0,0,10,1000000
481,481,0,0,10,1000000
482,482,0,0,10,1000000
483,483,0,0,10,1000000
484,484,0,0,10,1000000
485,485,0,0,10,1000000
486,486,0,0,10,1000000
487,487,0,0,10,1000000
488,488,0,0,10,1000000
489,489,0,0,10,1000000
490,490,0,0,10,1000000
491,491,0,0,10,1000000
492,492,0,0,10,1000000
493,493,0,0,10,0000000
494,494,0,0,10,0000000
495,495,0,0,10,0000000
496,496,0,0,10,0000000
497,497,0,0,10,0000000
498,498,0,0,10,0000000
499,499,0,0,10,0000000
500,500,0,0,10,0000000
501,501,0,0,10,0000000
502,502,0,0,10,0000000
503,503,0,0,10,0000000
504,504,0,0,10,0000000
505,505,0,0,10,0000000
506,506,0,0,10,0000000
507,507,0,0,10,0000000
508,508,0,0,10,0000000
509,509,0,0,10,0000000
510,510,0,0,10,0000000
511,511,0,0,10,0000000
512,512,0,0,10,0000000
513,513,0,0,10,0000000
514,514,0,0,10,0000000
515,515,0,0,10,0000000
516,516,0,0,10,0000000
517,517,0,0,10,0000000
518,518,0,0,10,0000000
519,519,0,0,10,0000000
520,520,0,0,10,0000000
521,521,0,0,10,0000000
522,522,0,0,10,0000000
523,523,0,0,10,0000000
524,524,0,0,10,0000000
525,525,0,0,10,0000000
526,526,0,0,10,0000000
527,527,0,0,10,0000000
528,528,0,0,10,0000000
529,529,0,0,10,0000000
530,530,0,0,10,0000000
531,531,0,0,10,0000000
532,532,0,0,10,0000000
533,533,0,0,10,0000000
534,534,0,0,10,0000000
535,535,0,0,10,0000000
536,536,0,0,10,0000000
537,537,0,0,10,0000000
538,538,0,0,10,0000000
539,539,0,0,10,0000000
540,540,0,0,10,0000000
541,541,0,0,10,0000000
542,542,0,0,10,0000000
543,543,0,0,10,0000000
544,544,0,0,10,0000000
545,545,0,0,10,0000000
546,546,0,0,10,0000000
547,547,0,0,10,0000000
548,548,0,0,10,0000000
549,549,0,0,10,0000000
550,550,0,0,10,0000000
551,551,0,0,10,0000000
552,552,0,0,10,0000000
553,553,0,0,10,0000000
554,554,0,0,10,0000000
555,555,0,0,10,0000000
556,556,0,0,10,0000000
557,557,0,0,10,0000000
558,558,0,0,10,0000000
559,559,0,0,10,0000000
560,560,0,0,10,0000000
561,561,0,0,10,0000000
562,562,0,0,10,0000000
563,563,0,0,10,0000000
564,564,0,0,10,0000000
565,565,0,0,10,0000000
566,566,0,0,10,0000000
567,567,0,0,10,0000000
568,568,0,0,10,0000000
569,569,0,0,10,0000000
570,570,0,0,10,0000000
571,571,0,0,10,0000000
572,572,0,0,10,0000000
573,573,0,0,10,0000000
574,574,0,0,10,0000000
575,575,0,0,10,0000000
576,576,0,0,10,0000000
577,577,0,0,10,0000000
578,578,0,0,10,0000000
579,579,0,0,10,0000000
580,580,0,0,10,0000000
581,581,0,0,10,0000000
582,582,0,0,10,0000000
583,583,0,0,10,0000000
584,584,0,0,10,0000000
585,585,0,0,10,0000000
586,586,0,0,10,0000000
587,587,0,0,10,0000000
588,588,0,0,10,0000000
589,589,0,0,10,0000000
590,590,0,0,10,0000000
591,591,0,0,10,0000000
592,592,0,0,10,0000000
593,593,0,0,10,0000000
594,594,0,0,10,0000000
595,595,0,0,10,0000000
596,596,0,0,10,0000000
597,597,0,0,10,0000000
598,598,0,0,10,0000000
599,599,0,0,10,0000000
600,600,0,0,10,0000000
601,601,0,0,10,0000000
602,602,0,0,10,0000000
603,603,0,0,10,0000000
604,604,0,0,10,0000000
605,605,0,0,10,0000000
606,606,0,0,10,0000000
607,607,0,0,10,0000000
608,608,0,0,10,0000000
609,609,0,0,10,0000000
610,610,0,0,10,0000000
611,611,0,0,10,0000000
612,612,0,0,10,0000000
613,613,0,0,10,0000000
614,614,0,0,10,0000000
615,615,0,0,10,0000000
616,616,0,0,10,0000000
617,617,0,0,10,0000000
618,618,0,0,10,0000000
619,619,0,0,10,0000000
620,620,0,0,10,0000000
621,621,0,0,10,0000000
622,622,0,0,10,0000000
623,623,0,0,10,0000000
624,624,0,0,10,0000000
625,625,0,0,10,0000000
626,626,0,0,10,0000000
627,627,0,0,10,0000000
628,628,0,0,10,0000000
629,629,0,0,10,0000000
630,630,0,0,10,0000000
631,631,0,0,10,0000000
632,632,0,0,10,0000000
633,633,0,0,10,0000000
634,634,0,0,10,0000000
635,635,0,0,10,0000000
636,636,0,0,10,0000000
637,637,0,0,10,0000000
638,638,0,0,10,0000000
639,639,0,0,10,0000000
640,640,0,0,10,0000000
641,641,0,0,10,0000000
642,642,0,0,10,0000000
643,643,0,0,10,0000000
644,644,0,0,10,0000000
645,645,0,0,10,0000000
646,646,0,0,10,0000000
647,647,0,0,10,0000000
648,648,0,0,10,0000000
649,649,0,0,10,0000000
650,650,0,0,10,0000000
651,651,0,0,10,0000000
652,652,0,0,10,0000000
653,653,0,0,10,0000000
654,654,0,0,10,0000000
655,655,0,0,10,0000000
656,656,0,0,10,0000000
657,657,0,0,10,0000000
658,658,0,0,10,0000000
659,659,0,0,10,0000000
660,660,0,0,10,0000000
661,661,0,0,10,0000000
662,662,0,0,10,0000000
663,663,0,0,10,0000000
664,664,0,0,10,0000000
665,665,0,0,10,0000000
666,666,0,0,10,0000000
667,667,0,0,10,0000000
668,668,0,0,10,0000000
669,669,0,0,10,0000000
670,670,0,0,10,0000000
671,671,0,0,10,0000000
672,672,0,0,10,0000000
673,673,0,0,10,0000000
674,674,0,0,10,0000000
675,675,0,0,10,0000000
676,676,0,0,10,0000000
677,677,0,0,10,0000000
678,678,0,0,10,0000000
679,679,0,0,10,0000000
680,680,0,0,10,0000000
681,681,0,0,10,0000000
682,682,0,0,10,0000000
683,683,0,0,10,0000000
684,684,0,0,10,0000000
685,685,0,0,10,0000000
686,686,0,0,10,0000000
687,687,0,0,10,0000000
688,688,0,0,10,0000000
689,689,0,0,10,0000000
690,690,0,0,10,0000000
691,691,0,0,10,0000000
692,692,0,0,10,0000000
693,693,0,0,10,0000000
694,694,0,0,10,0000000
695,695,0,0,10,0000000
696,696,0,0,10,0000000
697,697,0,0,10,0000000
698,698,0,0,10,0000000
699,699,0,0,10,0000000
700,700,0,0,10,0000000
701,701,0,0,10,0000000
702,702,0,0,10,0000000
703,703,0,0,10,0000000
704,704,0,0,10,0000000
705,705,0,0,10,0000000
706,706,0,0,10,0000000
707,707,0,0,10,0000000
708,708,0,0,10,0000000
709,709,0,0,10,0000000
710,710,0,0,10,0000000
711,711,0,0,10,0000000
712,712,0,0,10,0000000
713,713,0,0,10,0000000
714,714,0,0,10,0000000
715,715,0,0,10,0000000
716,716,0,0,10,0000000
717,717,0,0,10,0000000
718,718,0,0,10,0000000
719,719,0,0,10,0000000
720,720,0,0,10,0000000
721,721,0,0,10,0000000
722,722,0,0,10,0000000
723,723,0,0,10,0000000
724,724,0,0,10,0000000
725,725,0,0,10,0000000
726,726,0,0,10,0000000
727,727,0,0,10,0000000
728,728,0,0,10,0000000
729,729,0,0,10,0000000
730,730,0,0,10,0000000
731,731,0,0,10,0000000
732,732,0,0,10,0000000
733,733,0,0,10,0000000
734,734,0,0,10,0000000
735,735,0,0,10,0000000
736,736,0,0,10,0000000
737,737,0,0,10,0000000
738,738,0,0,10,0000000
739,739,0,0,10,0000000
740,740,0,0,10,0000000
741,741,0,0,10,0000000
742,742,0,0,10,0000000
743,743,0,0,10,0000000
744,744,0,0,10,0000000
745,745,0,0,10,0000000
746,746,0,0,10,0000000
747,747,0,0,10,0000000
748,748,0,0,10,0000000
749,749,0,0,10,0000000
750,750,0,0,10,0000000
751,751,0,0,10,0000000
752,752,0,0,10,0000000
753,753,0,0,10,0000000
754,754,0,0,10,0000000
755,755,0,0,10,0000000
756,756,0,0,10,0000000
757,757,0,0,10,0000000
758,758,0,0,10,0000000
759,759,0,0,10,0000000
760,760,0,0,10,0000000
761,761,0,0,10,0000000
762,762,0,0,10,0000000
763,763,0,0,10,0000000
764,764,0,0,10,0000000
765,765,0,0,10,0000000
766,766,0,0,10,0000000
767,767,0,0,10,0000000
768,768,0,0,10,0000000
769,769,0,0,10,0000000
770,770,0,0,10,0000000
771,771,0,0,10,0000000
772,772,0,0,10,0000000
773,773,0,0,10,0000000
774,774,0,0,10,0000000
775,775,0,0,10,0000000
776,776,0,0,10,0000000
777,777,0,0,10,0000000
778,778,0,0,10,0000000
779,779,0,0,10,0000000
780,780,0,0,10,0000000
781,781,0,0,10,0000000
782,782,0,0,10,0000000
783,783,0,0,10,0000000
784,784,0,0,10,0000000
785,785,0,0,10,0000000
786,786,0,0,10,0000000
787,787,0,0,10,0000000
788,788,0,0,10,0000000
789,789,0,0,10,0000000
790,790,0,0,10,0000000
791,791,0,0,10,0000000
792,792,0,0,10,0000000
793,793,0,0,10,0000000
794,794,0,0,10,0000000
795,795,0,0,10,0000000
796,796,0,0,10,0000000
797,797,0,0,10,0000000
798,798,0,0,10,0000000
799,799,0,0,10,0000000
800,800,0,0,10,0000000
801,801,0,0,10,0000000
802,802,0,0,10,0000000
803,803,0,0,10,0000000
804,804,0,0,10,0000000
805,805,0,0,10,0000000
806,806,0,0,10,0000000
807,807,0,0,10,0000000
808,808,0,0,10,0000000
809,809,0,0,10,0000000
810,810,0,0,10,0000000
811,811,0,0,10,0000000
812,812,0,0,10,0000000
813,813,0,0,10,0000000
814,814,0,0,10,0000000
815,815,0,0,10,0000000
816,816,0,0,10,0000000
817,817,0,0,10,0000000
818,818,0,0,10,0000000
819,819,0,0,10,0000000
820,820,0,0,10,0000000
821,821,0,0,10,0000000
822,822,0,0,10,0000000
823,823,0,0,10,0000000
824,824,0,0,10,0000000
825,825,0,0,10,0000000
826,826,0,0,10,0000000
827,827,0,0,10,0000000
828,828,0,0,10,0000000
829,829,0,0,10,0000000
830,830,0,0,10,0000000
831,831,0,0,10,0000000
832,832,0,0,10,0000000
833,833,0,0,10,0000000
834,834,0,0,10,0000000
835,835,0,0,10,0000000
836,836,0,0,10,0000000
837,837,0,0,10,0000000
838,838,0,0,10,0000000
839,839,0,0,10,0000000
840,840,0,0,10,0000000
841,841,0,0,10,0000000
842,842,0,0,10,0000000
843,843,0,0,10,0000000
844,844,0,0,10,0000000
845,845,0,0,10,0000000
846,846,0,0,10,0000000
847,847,0,0,10,0000000
848,848,0,0,10,0000000
849,849,0,0,10,0000000
850,850,0,0,10,0000000
851,851,0,0,10,0000000
852,852,0,0,10,0000000
853,853,0,0,10,0000000
854,854,0,0,10,0000000
855,855,0,0,10,0000000
856,856,0,0,10,0000000
857,857,0,0,10,0000000
858,858,0,0,10,0000000
859,859,0,0,10,0000000
860,860,0,0,10,0000000
861,861,0,0,10,0000000
862,862,0,0,10,0000000
863,863,0,0,10,1000000
864,864,0,0,10,1000000
865,865,0,0,10,1000000
866,866,0,0,10,1000000
867,867,0,0,10,1000000
868,868,0,0,10,1000000
869,869,0,0,10,1000000
870,870,0,0,10,1000000
871,871,0,0,10,1000000
872,872,0,0,10,1000000
873,873,0,0,10,1000000
874,874,0,0,10,1000000
875,875,0,0,10,1000000
876,876,0,0,10,1000000
877,877,0,0,10,1000000
878,878,0,0,10,1000000
879,879,0,0,10,1000000
880,880,0,0,10,1000000
881,881,0,0,10,1000000
882,882,0,0,10,1000000
883,883,0,0,10,1000000
884,884,0,0,10,1000000
885,885,0,0,10,1000000
886,886,0,0,10,1000000
887,887,0,0,10,1000000
888,888,0,0,10,1000000
889,889,0,0,10,1000000
890,890,0,0,10,1000000
891,891,0,0,10,1000000
892,892,0,0,10,1000000
893,893,0,0,10,1000000
894,894,0,0,10,1000000
895,895,0,0,10,1000000
896,896,0,0,10,1000000
897,897,0,0,10,1000000
898,898,0,0,10,1000000
899,899,0,0,10,1000000
900,900,0,0,10,1000000
901,901,0,0,10,1000000
902,902,0,0,10,1000000
903,903,0,0,10,1000000
904,904,0,0,10,1000000
905,905,0,0,10,1000000
906,906,0,0,10,1000000
907,907,0,0,10,1000000
908,908,0,0,10,1000000
909,909,0,0,10,1000000
910,910,0,0,10,1000000
911,911,0,0,10,1000000
912,912,0,0,10,1000000
913,913,0,0,10,1000000
914,914,0,0,10,1000000
915,915,0,0,10,1000000
916,916,0,0,10,1000000
917,917,0,0,10,1000000
918,918,0,0,10,1000000
919,919,0,0,10,1000000
920,920,0,0,10,1000000
921,921,0,0,10,1000000
922,922,0,0,10,1000000
923,923,0,0,10,1000000
924,924,0,0,10,1000000
925,925,0,0,10,1000000
926,926,0,0,10,1000000
927,927,0,0,10,1000000
928,928,0,0,10,1000000
929,929,0,0,10,1000000
930,930,0,0,10,1000000
931,931,0,0,10,1000000
932,932,0,0,10,1000000
933,933,0,0,10,1000000
934,934,0,0,10,1000000
935,935,0,0,10,1000000
936,936,0,0,10,1000000
937,937,0,0,10,1000000
938,938,0,0,10,1000000
939,939,0,0,10,1000000
940,940,0,0,10,1000000
941,941,0,0,10,1000000
942,942,0,0,10,1000000
943,943,0,0,10,1000000
944,944,0,0,10,1000000
945,945,0,0,10,1000000
946,946,0,0,10,1000000
947,947,0,0,10,1000000
948,948,0,0,10,1000000
949,949,0,0,10,1000000
950,950,0,0,10,1000000
951,951,0,0,10,1000000
952,952,0,0,10,1000000
953,953,0,0,10,1000000
954,954,0,0,10,1000000
955,955,0,0,10,1000000
956,956,0,0,10,1000000
957,957,0,0,10,1000000
958,958,0,0,10,1000000
959,959,0,0,10,1000000
960,960,0,0,10,1000000
961,961,0,0,10,1000000
962,962,0,0,10,1000000
963,963,0,0,10,1000000
964,964,0,0,10,1000000
965,965,0,0,10,1000000
966,966,0,0,10,1000000
967,967,0,0,10,1000000
968,968,0,0,10,1000000
969,969,0,0,10,1000000
970,970,0,0,10,1000000
971,971,0,0,10,1000000
972,972,0,0,10,1000000
973,973,0,0,10,1000000
974,974,0,0,10,1000000
975,975,0,0,10,1000000
